,out-degree-weight,in-degree-weight,out-degree,in-degree,bot,bc,lcc,ac
147.32.84.165,0.0,0.08084886203805595,0.0,0.1902981234347662,0,0.00018855241104384816,0.0,0.004896624601195578
147.32.80.9,0.0,4.0,0.0,1.0,0,0.0,0.0,0.3657131372636886
74.125.232.195,0.0,29.0,0.0,1.0,0,0.0,0.0,2.7814546482612944e-05
60.190.222.139,0.0,132.0,0.0,1.0,0,0.0,0.0,1.4401050953769261e-05
94.63.149.152,0.0,172.0,0.0,2.0,0,0.0,0.0,1.8619734322383427e-05
60.190.223.75,0.0,1115.0,0.0,12.0,0,0.0,0.0,0.00011807519473746236
195.88.191.59,0.0,1157.0,0.0,5.0,0,0.0,0.0,0.0001225048122745072
122.224.6.164,0.0,300.0,0.0,1.0,0,0.0,0.0,3.211952110194875e-05
174.133.57.141,0.0,7958.0,0.0,351.0,0,0.0,0.0,0.0008397864520231305
61.147.99.179,0.0,96.0,0.0,1.0,0,0.0,0.0,1.0604235922016517e-05
94.63.150.20,0.0,270.0,0.0,9.0,0,0.0,0.0,2.895550857548813e-05
74.222.3.26,0.0,240.0,0.0,20.0,0,0.0,0.0,2.5791496049027508e-05
222.88.205.195,0.0,1119.0,0.0,20.0,0,0.0,0.0,0.00011849706307432377
62.209.146.67,0.0,19.0,0.0,3.0,0,0.0,0.0,2.4832704374342473e-06
94.95.56.138,0.0,17.0,0.0,2.0,0,0.0,0.0,2.2723362690035393e-06
77.127.110.198,0.0,19.0,0.0,3.0,0,0.0,0.0,2.4832704374342473e-06
117.205.50.80,0.0,5.0,0.0,1.0,0,0.0,0.0,1.0067312584192895e-06
188.129.211.240,0.0,22.0,0.0,4.0,0,0.0,0.0,2.7996716900803094e-06
49.114.102.212,0.0,5.0,0.0,1.0,0,0.0,0.0,1.0067312584192895e-06
115.99.115.251,0.0,16.0,0.0,2.0,0,0.0,0.0,2.1668691847881853e-06
115.184.216.90,0.0,6.0,0.0,1.0,0,0.0,0.0,1.1121983426346437e-06
117.207.49.181,0.0,14.0,0.0,2.0,0,0.0,0.0,1.9559350163574764e-06
174.123.157.154,0.0,18.0,0.0,1.0,0,0.0,0.0,2.3778033532188933e-06
117.199.114.136,0.0,9.0,0.0,2.0,0,0.0,0.0,1.428599595280706e-06
27.255.59.64,0.0,8.0,0.0,1.0,0,0.0,0.0,1.323132511065352e-06
79.140.237.191,0.0,6.0,0.0,1.0,0,0.0,0.0,1.1121983426346437e-06
89.34.90.20,0.0,6.0,0.0,1.0,0,0.0,0.0,1.1121983426346437e-06
59.94.130.46,0.0,22.0,0.0,4.0,0,0.0,0.0,2.79967169008031e-06
59.48.7.172,0.0,27.0,0.0,3.0,0,0.0,0.0,3.3270071111570803e-06
111.253.202.95,0.0,12.0,0.0,2.0,0,0.0,0.0,1.7450008479267686e-06
182.2.117.2,0.0,17.0,0.0,2.0,0,0.0,0.0,2.272336269003539e-06
112.205.182.117,0.0,9.0,0.0,1.0,0,0.0,0.0,1.428599595280706e-06
178.121.31.113,0.0,17.0,0.0,3.0,0,0.0,0.0,2.272336269003539e-06
203.84.189.77,0.0,18.0,0.0,2.0,0,0.0,0.0,2.377803353218893e-06
94.137.182.140,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
111.88.31.68,0.0,25.0,0.0,5.0,0,0.0,0.0,3.116072942726372e-06
91.203.175.83,0.0,10.0,0.0,2.0,0,0.0,0.0,1.53406667949606e-06
143.107.171.10,0.0,11.0,0.0,2.0,0,0.0,0.0,1.6395337637114144e-06
74.222.8.74,0.0,78.0,0.0,13.0,0,0.0,0.0,8.705828406140139e-06
84.111.18.150,0.0,4.0,0.0,1.0,0,0.0,0.0,9.012641742039355e-07
31.192.109.167,0.0,1051.0,0.0,52.0,0,0.0,0.0,0.0001113253013476797
212.12.200.158,0.0,20.0,0.0,2.0,0,0.0,0.0,2.5887375216496014e-06
